run_id,n,iterations,execution_time,success,initial_conflicts,final_conflicts,conflict_delta,avg_conflicts_per_iteration,time_per_iteration
1,10,206,0.001250,1,0,0,0,0.000000,0.000006
2,10,113,0.000467,1,0,0,0,0.000000,0.000004
3,10,866,0.002990,1,0,0,0,0.000000,0.000003
4,10,583,0.002149,1,0,0,0,0.000000,0.000004
5,10,0,0.000181,1,0,0,0,0,0
6,10,162,0.000649,1,0,0,0,0.000000,0.000004
7,10,364,0.001154,1,0,0,0,0.000000,0.000003
8,10,0,0.000148,1,0,0,0,0,0
9,10,65,0.000318,1,0,0,0,0.000000,0.000005
10,10,1858,0.006134,1,0,0,0,0.000000,0.000003
